movie_title,duration,budget,gross,imdb_score,success_category,num_voted_users,movie_facebook_likes,director_facebook_likes,title_year,genres,country,language,content_rating,aspect_ratio,color,profit,roi,budget_millions,gross_millions
Avatar ,178.0,237000000.0,760505847.0,7.9,Hit,886204,33000,0.0,2009.0,Action|Adventure|Fantasy|Sci-Fi,USA,English,PG-13,1.78,Color,523505847.0,220.8885430379747,237.0,760.505847
Pirates of the Caribbean: At World's End ,169.0,300000000.0,309404152.0,7.1,Hit,471220,0,563.0,2007.0,Action|Adventure|Fantasy,USA,English,PG-13,2.35,Color,9404152.0,3.134717333333333,300.0,309.404152
Spectre ,148.0,245000000.0,200074175.0,6.8,Hit,275868,85000,0.0,2015.0,Action|Adventure|Thriller,UK,English,PG-13,2.35,Color,-44925825.0,-18.337071428571427,245.0,200.074175
The Dark Knight Rises ,164.0,250000000.0,448130642.0,8.5,Hit,1144337,164000,22000.0,2012.0,Action|Thriller,USA,English,PG-13,2.35,Color,198130642.0,79.2522568,250.0,448.130642
Star Wars: Episode VII - The Force Awakens             ,103.0,0.0,0.0,7.1,Hit,8,0,131.0,,Documentary,,,,,,0.0,,0.0,0.0
John Carter ,132.0,263700000.0,73058679.0,6.6,Hit,212204,24000,475.0,2012.0,Action|Adventure|Sci-Fi,USA,English,PG-13,2.35,Color,-190641321.0,-72.29477474402731,263.7,73.058679
Spider-Man 3 ,156.0,258000000.0,336530303.0,6.2,Hit,383056,0,0.0,2007.0,Action|Adventure|Romance,USA,English,PG-13,2.35,Color,78530303.0,30.438101937984495,258.0,336.530303
Tangled ,100.0,260000000.0,200807262.0,7.8,Hit,294810,29000,15.0,2010.0,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,USA,English,PG,1.85,Color,-59192738.0,-22.766437692307694,260.0,200.807262
Avengers: Age of Ultron ,141.0,250000000.0,458991599.0,7.5,Hit,462669,118000,0.0,2015.0,Action|Adventure|Sci-Fi,USA,English,PG-13,2.35,Color,208991599.0,83.5966396,250.0,458.991599
Harry Potter and the Half-Blood Prince ,153.0,250000000.0,301956980.0,7.5,Hit,321795,10000,282.0,2009.0,Adventure|Family|Fantasy|Mystery,UK,English,PG,2.35,Color,51956980.0,20.782792,250.0,301.95698
Batman v Superman: Dawn of Justice ,183.0,250000000.0,330249062.0,6.9,Hit,371639,197000,0.0,2016.0,Action|Adventure|Sci-Fi,USA,English,PG-13,2.35,Color,80249062.0,32.0996248,250.0,330.249062
Superman Returns ,169.0,209000000.0,200069408.0,6.1,Hit,240396,0,0.0,2006.0,Action|Adventure|Sci-Fi,USA,English,PG-13,2.35,Color,-8930592.0,-4.273010526315789,209.0,200.069408
Quantum of Solace ,106.0,200000000.0,168368427.0,6.7,Hit,330784,0,395.0,2008.0,Action|Adventure,UK,English,PG-13,2.35,Color,-31631573.0,-15.815786500000002,200.0,168.368427
Pirates of the Caribbean: Dead Man's Chest ,151.0,225000000.0,423032628.0,7.3,Hit,522040,5000,563.0,2006.0,Action|Adventure|Fantasy,USA,English,PG-13,2.35,Color,198032628.0,88.01450133333333,225.0,423.032628
The Lone Ranger ,150.0,215000000.0,89289910.0,6.5,Hit,181792,48000,563.0,2013.0,Action|Adventure|Western,USA,English,PG-13,2.35,Color,-125710090.0,-58.46980930232558,215.0,89.28991
Man of Steel ,143.0,225000000.0,291021565.0,7.2,Hit,548573,118000,0.0,2013.0,Action|Adventure|Fantasy|Sci-Fi,USA,English,PG-13,2.35,Color,66021565.0,29.342917777777778,225.0,291.021565
The Chronicles of Narnia: Prince Caspian ,150.0,225000000.0,141614023.0,6.6,Hit,149922,0,80.0,2008.0,Action|Adventure|Family|Fantasy,USA,English,PG,2.35,Color,-83385977.0,-37.06043422222222,225.0,141.614023
The Avengers ,173.0,220000000.0,623279547.0,8.1,Hit,995415,123000,0.0,2012.0,Action|Adventure|Sci-Fi,USA,English,PG-13,1.85,Color,403279547.0,183.308885,220.0,623.279547
Pirates of the Caribbean: On Stranger Tides ,136.0,250000000.0,241063875.0,6.7,Hit,370704,58000,252.0,2011.0,Action|Adventure|Fantasy,USA,English,PG-13,2.35,Color,-8936125.0,-3.5744499999999997,250.0,241.063875
Men in Black 3 ,106.0,225000000.0,179020854.0,6.8,Hit,268154,40000,188.0,2012.0,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,USA,English,PG-13,1.85,Color,-45979146.0,-20.435176,225.0,179.020854
The Hobbit: The Battle of the Five Armies ,164.0,250000000.0,255108370.0,7.5,Hit,354228,65000,0.0,2014.0,Adventure|Fantasy,New Zealand,English,PG-13,2.35,Color,5108370.0,2.043348,250.0,255.10837
The Amazing Spider-Man ,153.0,230000000.0,262030663.0,7.0,Hit,451803,56000,464.0,2012.0,Action|Adventure|Fantasy,USA,English,PG-13,2.35,Color,32030663.0,13.926375217391303,230.0,262.030663
Robin Hood ,156.0,200000000.0,105219735.0,6.7,Hit,211765,17000,0.0,2010.0,Action|Adventure|Drama|History,USA,English,PG-13,2.35,Color,-94780265.0,-47.3901325,200.0,105.219735
The Hobbit: The Desolation of Smaug ,186.0,225000000.0,258355354.0,7.9,Hit,483540,83000,0.0,2013.0,Adventure|Fantasy,USA,English,PG-13,2.35,Color,33355354.0,14.824601777777776,225.0,258.355354
The Golden Compass ,113.0,180000000.0,70083519.0,6.1,Hit,149019,0,129.0,2007.0,Adventure|Family|Fantasy,USA,English,PG-13,2.35,Color,-109916481.0,-61.06471166666667,180.0,70.083519
King Kong ,201.0,207000000.0,218051260.0,7.2,Hit,316018,0,0.0,2005.0,Action|Adventure|Drama|Romance,New Zealand,English,PG-13,2.35,Color,11051260.0,5.338772946859904,207.0,218.05126
Titanic ,194.0,200000000.0,658672302.0,7.7,Hit,793059,26000,0.0,1997.0,Drama|Romance,USA,English,PG-13,2.35,Color,458672302.0,229.336151,200.0,658.672302
